UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q9ULK4,MED23,Mediator of RNA polymerase II transcription subunit 23,,"saliva: 338/61.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 1/0.07 peptides",?,19.8
Q9NVC6,MED17,Mediator of RNA polymerase II transcription subunit 17,,"saliva: 2/2.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14,,"saliva: 85/5.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86YW9,MED12L,Mediator of RNA polymerase II transcription subunit 12-like protein,,"saliva: 137/6.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IWI9,MGA,MAX gene-associated protein,,"saliva: 30/0.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.01 peptides",n/a,n/a
Q9NR99,MXRA5,Matrix-remodeling-associated protein 5,,"saliva: 161/4.83 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,11.5
P14780,MMP9,Matrix metalloproteinase-9,,"saliva: 979/100.95 peptides
parotid gland: 2/0.05 peptides
sm/sl glands: 0/0 peptides",not detected,12.5
O75900,MMP23B,Matrix metalloproteinase-23,,"saliva: 8/1.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P51512,MMP16,Matrix metalloproteinase-16,,"saliva: 132/18.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P08493,MGP,Matrix Gla protein,,"saliva: 0/0 peptides
parotid gland: 28/13.52 peptides
sm/sl glands: 15/8.66 peptides",n/a,n/a
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein,,"saliva: 26/2.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P09237,MMP7,Matrilysin,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.15 peptides",n/a,n/a
O95460,MATN4,Matrilin-4,,"saliva: 6/1.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13495,MAMLD1,Mastermind-like domain-containing protein 1,,"saliva: 2/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86SM5,MRGPRG,Mas-related G-protein coupled receptor member G,,"saliva: 43/20.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IWC1,MAP7D3,MAP7 domain-containing protein 3,,"saliva: 6/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H9H5,MAP6D1,MAP6 domain-containing protein 1,,"saliva: 6/1.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96L34,MARK4,MAP/microtubule affinity-regulating kinase 4,,"saliva: 4/0.36 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8WXG6,MADD,MAP kinase-activating death domain protein,,"saliva: 9/0.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13724,MOGS,Mannosyl-oligosaccharide glucosidase,,"saliva: 8/0.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",,"saliva: 0/0 peptides
parotid gland: 3/0.03 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P33908,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",,"saliva: 0/0 peptides
parotid gland: 22/0.26 peptides
sm/sl glands: 8/0.25 peptides",n/a,n/a
Q9HD20,ATP13A1,Manganese-transporting ATPase 13A1,,"saliva: 3/0.26 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",medium,18.9
O75556,SCGB2A1,Mammaglobin-B,,"saliva: 6/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,18.8
Q5VYJ5,MALRD1,MAM and LDL-receptor class A domain-containing protein 1,,"saliva: 5/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43451,MGAM,"Maltase-glucoamylase, intestinal",,"saliva: 79/4.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O95822,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial",,"saliva: 3/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,6.4
P40926,MDH2,"Malate dehydrogenase, mitochondrial",,"saliva: 483/101.72 peptides
parotid gland: 97/6.24 peptides
sm/sl glands: 22/3.63 peptides",high,26.8
P40925,MDH1,"Malate dehydrogenase, cytoplasmic",,"saliva: 900/149.83 peptides
parotid gland: 46/3.14 peptides
sm/sl glands: 19/2.11 peptides",low,15.4
Q14764,MVP,Major vault protein,,"saliva: 1/0.07 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UPX6,MINAR1,Major intrinsically disordered Notch2-binding receptor 1,,"saliva: 22/1.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NZW5,MPP6,MAGUK p55 subfamily member 6,,"saliva: 9/1.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96JB8,MPP4,MAGUK p55 subfamily member 4,,"saliva: 312/42.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14168,MPP2,MAGUK p55 subfamily member 2,,"saliva: 3/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q0D2K0,NIPAL4,Magnesium transporter NIPA4,,"saliva: 17/6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,1.2
A6NES4,MROH2A,Maestro heat-like repeat-containing protein family member 2A,,"saliva: 36/1.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NDA8,MROH1,Maestro heat-like repeat-containing protein family member 1,,"saliva: 66/3.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P40121,CAPG,Macrophage-capping protein,,"saliva: 703/133.6 peptides
parotid gland: 69/4.79 peptides
sm/sl glands: 10/1.02 peptides",not detected,22.5
P14174,MIF,Macrophage migration inhibitory factor,,"saliva: 113/99.66 peptides
parotid gland: 55/17.75 peptides
sm/sl glands: 11/6.76 peptides",low,57.3
P09603,CSF1,Macrophage colony-stimulating factor 1,,"saliva: 8/1.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,12.4
P61626,LYZ,Lysozyme C,,"saliva: 1706/584.97 peptides
parotid gland: 911/200.88 peptides
sm/sl glands: 1807/1236.36 peptides",medium,1017.8
Q99698,LYST,Lysosomal-trafficking regulator,,"saliva: 158/3.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P10619,CTSA,Lysosomal protective protein,,"saliva: 0/0 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P42785,PRCP,Lysosomal Pro-X carboxypeptidase,,"saliva: 0/0 peptides
parotid gland: 3/0.07 peptides
sm/sl glands: 3/0.17 peptides",n/a,n/a
O00754,MAN2B1,Lysosomal alpha-mannosidase,,"saliva: 0/0 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,,"saliva: 2/0.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5VWQ0,RSBN1,Lysine-specific demethylase 9,,"saliva: 47/4.01 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.04 peptides",medium,10.1
O15054,KDM6B,Lysine-specific demethylase 6B,,"saliva: 1/0.05 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UGL1,KDM5B,Lysine-specific demethylase 5B,,"saliva: 17/0.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,11.1
P29375,KDM5A,Lysine-specific demethylase 5A,,"saliva: 26/1.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,12.9
O75164,KDM4A,Lysine-specific demethylase 4A,,"saliva: 11/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NHM5,KDM2B,Lysine-specific demethylase 2B,,"saliva: 429/18.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y2K7,KDM2A,Lysine-specific demethylase 2A,,"saliva: 188/11.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P46736,BRCC3,Lys-63-specific deubiquitinase BRCC36,,"saliva: 7/2.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,15.5
Q9NRZ9,HELLS,Lymphoid-specific helicase,,"saliva: 604/46.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,2.8
Q12912,LRMP,Lymphoid-restricted membrane protein,,"saliva: 219/27.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 1/0.11 peptides",not detected,4.1
P33241,LSP1,Lymphocyte-specific protein 1,,"saliva: 15/0.83 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O60449,EntrezGene:100526664;EntrezGene:4065,Lymphocyte antigen 75,,"saliva: 73/3.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O95274,LYPD3,Ly6/PLAUR domain-containing protein 3,,"saliva: 1143/282.38 peptides
parotid gland: 49/4.42 peptides
sm/sl glands: 23/3.9 peptides",not detected,21.7
O95232,LUC7L3,Luc7-like protein 3,,"saliva: 22/1.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14114,LRP8,Low-density lipoprotein receptor-related protein 8,,"saliva: 7/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O75096,LRP4,Low-density lipoprotein receptor-related protein 4,,"saliva: 2/0.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P98164,LRP2,Low-density lipoprotein receptor-related protein 2,,"saliva: 5/0.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NZR2,LRP1B,Low-density lipoprotein receptor-related protein 1B,,"saliva: 290/5.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UKU0,ACSL6,Long-chain-fatty-acid--CoA ligase 6,,"saliva: 99/14.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,,"saliva: 70/9.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P28330,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",,"saliva: 33/5.47 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y2P4,SLC27A6,Long-chain fatty acid transport protein 6,,"saliva: 228/28.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.9
Q496Y0,LONRF3,LON peptidase N-terminal domain and RING finger protein 3,,"saliva: 160/14.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q1L5Z9,LONRF2,LON peptidase N-terminal domain and RING finger protein 2,,"saliva: 11/1.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P23141,CES1,Liver carboxylesterase 1,,"saliva: 1334/185.74 peptides
parotid gland: 22/1 peptides
sm/sl glands: 0/0 peptides",low,3.9
Q8ND30,PPFIBP2,Liprin-beta-2,,"saliva: 5/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O75145,PPFIA3,Liprin-alpha-3,,"saliva: 248/13.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IVV2,LOXHD1,Lipoxygenase homology domain-containing protein 1,,"saliva: 16/0.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,,"saliva: 205/7.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86X29,LSR,Lipolysis-stimulated lipoprotein receptor,,"saliva: 12/1.83 peptides
parotid gland: 4/0.06 peptides
sm/sl glands: 6/0.22 peptides",n/a,n/a
P31025,LCN1,Lipocalin-1,,"saliva: 1436/573.42 peptides
parotid gland: 24/2.98 peptides
sm/sl glands: 23/5.47 peptides",n/a,n/a
P11182,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",,"saliva: 95/16.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5VYY2,LIPM,Lipase member M,,"saliva: 53/14.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6XZB0,LIPI,Lipase member I,,"saliva: 7/1.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8WWI1,LMO7,LIM domain only protein 7,,"saliva: 5/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UHB6,LIMA1,LIM domain and actin-binding protein 1,,"saliva: 137/11.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96JN0,LCOR,Ligand-dependent corepressor,,"saliva: 263/11.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8TAF8,LHFPL5,LHFPL tetraspan subfamily member 5 protein,,"saliva: 87/46.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.1
P09960,LTA4H,Leukotriene A-4 hydrolase,,"saliva: 2097/236.44 peptides
parotid gland: 45/1.59 peptides
sm/sl glands: 16/1.2 peptides",medium,21.1
P30740,SERPINB1,Leukocyte elastase inhibitor,,"saliva: 5572/911.13 peptides
parotid gland: 333/18.44 peptides
sm/sl glands: 151/22.24 peptides",not detected,23.5
Q6UYE1,DLEU7,Leukemia-associated protein 7,,"saliva: 2/0.96 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P42702,LIFR,Leukemia inhibitory factor receptor,,"saliva: 450/35.6 peptides
parotid gland: 1/0.02 peptides
sm/sl glands: 1/0.07 peptides",?,24.9
P15018,LIF,Leukemia inhibitory factor,,"saliva: 5/2.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZRR7,LRRC9,Leucine-rich repeat-containing protein 9,,"saliva: 172/9.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N4P6,LRRC71,Leucine-rich repeat-containing protein 71,,"saliva: 6/0.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NM62,LRRC53,Leucine-rich repeat-containing protein 53,,"saliva: 19/1.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IUZ0,LRRC49,Leucine-rich repeat-containing protein 49,,"saliva: 98/10.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.1
Q6UY01,LRRC31,Leucine-rich repeat-containing protein 31,,"saliva: 2/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q2I0M4,LRRC26,Leucine-rich repeat-containing protein 26,,"saliva: 0/0 peptides
parotid gland: 7/0.26 peptides
sm/sl glands: 5/0.49 peptides",medium,173.1
Q53EV4,LRRC23,Leucine-rich repeat-containing protein 23,,"saliva: 42/10.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BTT6,LRRC1,Leucine-rich repeat-containing protein 1,,"saliva: 121/19.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q3SXY7,LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",,"saliva: 9/1.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P2V4,LRIT1,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1",,"saliva: 2/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43155,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,,"saliva: 2/0.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.8
Q86VH4,LRRTM4,Leucine-rich repeat transmembrane neuronal protein 4,,"saliva: 75/12.05 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5S007,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,,"saliva: 181/5.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q38SD2,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1,,"saliva: 327/14.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H3W5,LRRN3,Leucine-rich repeat neuronal protein 3,,"saliva: 2/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NIV6,LRRIQ4,Leucine-rich repeat and IQ domain-containing protein 4,,"saliva: 2/0.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6PVS8,LRRIQ3,Leucine-rich repeat and IQ domain-containing protein 3,,"saliva: 14/1.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96JM4,LRRIQ1,Leucine-rich repeat and IQ domain-containing protein 1,,"saliva: 22/0.83 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9ULH4,LRFN2,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,,"saliva: 7/1.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A4D1F6,LRRD1,Leucine-rich repeat and death domain-containing protein 1,,"saliva: 3/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",,"saliva: 550/26.9 peptides
parotid gland: 1/0.02 peptides
sm/sl glands: 0/0 peptides",high,17.8
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,,"saliva: 413/90.99 peptides
parotid gland: 24/2.33 peptides
sm/sl glands: 28/4.63 peptides",not detected,4.1
Q6ZMV7,LEKR1,"Leucine-, glutamate- and lysine-rich protein 1",,"saliva: 236/30.93 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.6
O60299,LZTS3,Leucine zipper putative tumor suppressor 3,,"saliva: 5/0.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y250,LZTS1,Leucine zipper putative tumor suppressor 1,,"saliva: 11/1.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P29536,LMOD1,Leiomodin-1,,"saliva: 174/13.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q99538,LGMN,Legumain,,"saliva: 0/0 peptides
parotid gland: 8/0.17 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14767,LTBP2,Latent-transforming growth factor beta-binding protein 2,,"saliva: 45/3.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14766,LTBP1,Latent-transforming growth factor beta-binding protein 1,,"saliva: 0/0 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 2/0.05 peptides",n/a,n/a
O95461,LARGE1,LARGE xylosyl- and glucuronyltransferase 1,,"saliva: 7/0.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13751,LAMB3,Laminin subunit beta-3,,"saliva: 2/0.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P55268,LAMB2,Laminin subunit beta-2,,"saliva: 12/0.37 peptides
parotid gland: 3/0.02 peptides
sm/sl glands: 2/0.03 peptides",n/a,n/a
O15230,LAMA5,Laminin subunit alpha-5,,"saliva: 228/6.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q16363,LAMA4,Laminin subunit alpha-4,,"saliva: 12/0.62 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 3/0.03 peptides",n/a,n/a
P24043,LAMA2,Laminin subunit alpha-2,,"saliva: 12/0.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P25391,LAMA1,Laminin subunit alpha-1,,"saliva: 17/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha",,"saliva: 112/11.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q03252,LMNB2,Lamin-B2,,"saliva: 18/1.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P20700,LMNB1,Lamin-B1,,"saliva: 44/4.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q04760,GLO1,Lactoylglutathione lyase,,"saliva: 6/2.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P02788,LTF,Lactotransferrin,,"saliva: 11831/967.29 peptides
parotid gland: 1545/76.42 peptides
sm/sl glands: 1353/140.2 peptides",medium,181.9
P22079,LPO,Lactoperoxidase,,"saliva: 6435/526.12 peptides
parotid gland: 877/43.08 peptides
sm/sl glands: 937/117.99 peptides",high,345.7
Q71RC2,LARP4,La-related protein 4,,"saliva: 6/0.79 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P07864,LDHC,L-lactate dehydrogenase C chain,,"saliva: 540/124.37 peptides
parotid gland: 4/0.23 peptides
sm/sl glands: 2/0.34 peptides",n/a,n/a
P07195,LDHB,L-lactate dehydrogenase B chain,,"saliva: 951/188.7 peptides
parotid gland: 8/0.4 peptides
sm/sl glands: 12/1.58 peptides",medium,21.8
Q9BYZ2,LDHAL6B,L-lactate dehydrogenase A-like 6B,,"saliva: 24/5.87 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZMR3,LDHAL6A,L-lactate dehydrogenase A-like 6A,,"saliva: 36/9.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.6 peptides",n/a,n/a
P00338,LDHA,L-lactate dehydrogenase A chain,,"saliva: 2218/398.4 peptides
parotid gland: 106/6.09 peptides
sm/sl glands: 40/5.22 peptides",medium,46.3
O43291,SPINT2,Kunitz-type protease inhibitor 2,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.14 peptides",medium,143.1
O43278,SPINT1,Kunitz-type protease inhibitor 1,,"saliva: 113/20.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.09 peptides",low,50.8
Q6NY19,KANK3,KN motif and ankyrin repeat domain-containing protein 3,,"saliva: 371/36.37 peptides
parotid gland: 2/0.06 peptides
sm/sl glands: 2/0.16 peptides",low,3.4
Q63ZY3,KANK2,KN motif and ankyrin repeat domain-containing protein 2,,"saliva: 15/1.61 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P01042,KNG1,Kininogen-1,,"saliva: 3/0.08 peptides
parotid gland: 8/1.04 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NBT2,SPC24,Kinetochore protein Spc24,,"saliva: 6/4.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.4
Q6ZMV9,KIF6,Kinesin-like protein KIF6,,"saliva: 2/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y496,KIF3A,Kinesin-like protein KIF3A,,"saliva: 193/15.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,3.8
Q99661,KIF2C,Kinesin-like protein KIF2C,,"saliva: 3/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86VH2,KIF27,Kinesin-like protein KIF27,,"saliva: 395/18.84 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9ULI4,KIF26A,Kinesin-like protein KIF26A,,"saliva: 674/29.22 peptides
parotid gland: 1/0.01 peptides
sm/sl glands: 2/0.07 peptides",?,2.5
O75037,KIF21B,Kinesin-like protein KIF21B,,"saliva: 848/31.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 1/0.03 peptides",medium,2.1
O95235,KIF20A,Kinesin-like protein KIF20A,,"saliva: 7/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43896,KIF1C,Kinesin-like protein KIF1C,,"saliva: 175/10.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O60333,KIF1B,Kinesin-like protein KIF1B,,"saliva: 43/1.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12756,KIF1A,Kinesin-like protein KIF1A,,"saliva: 94/4.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86Y91,KIF18B,Kinesin-like protein KIF18B,,"saliva: 3/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.7
Q8NI77,KIF18A,Kinesin-like protein KIF18A,,"saliva: 106/7.72 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96L93,KIF16B,Kinesin-like protein KIF16B,,"saliva: 6/0.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8.5
Q9NS87,KIF15,Kinesin-like protein KIF15,,"saliva: 6/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q15058,KIF14,Kinesin-like protein KIF14,,"saliva: 78/3.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NQT8,KIF13B,Kinesin-like protein KIF13B,,"saliva: 329/13.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.9
P52732,KIF11,Kinesin-like protein KIF11,,"saliva: 3/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P33176,KIF5B,Kinesin-1 heavy chain,,"saliva: 10/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
