UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
A0A218KIQ8,A0A218KIQ8_PEA,unreviewed,ACC synthase 4,ACS4,Pisum sativum (Garden pea),480,,,,
Q9AVH2,Q9AVH2_PEA,unreviewed,Putative senescence-associated protein (Fragment),ssa-13,Pisum sativum (Garden pea),282,,,,
U3LYB9,U3LYB9_PEA,unreviewed,Maturase K (Fragment),,Pisum sativum (Garden pea),111,,,,
I7GSH4,I7GSH4_PEA,unreviewed,mRNA cap-binding protein,,Pisum sativum (Garden pea),204,,,,
B7SQ96,B7SQ96_PEA,unreviewed,Putative LysM receptor kinase K1A,K1,Pisum sativum (Garden pea),620,,,,
A0A0K1H1Q1,A0A0K1H1Q1_PEA,unreviewed,Xanthoxin dehydrogenase,ABA2 WILTY,Pisum sativum (Garden pea),277,,,,
Q9M4K9,Q9M4K9_PEA,unreviewed,B-like cyclin,cycA3,Pisum sativum (Garden pea),355,,,,
A0A1U9X423,A0A1U9X423_PEA,unreviewed,Bidirectional sugar transporter 15d-like protein (Fragment),SWEET15d,Pisum sativum (Garden pea),102,,,,
A0A6M4ECJ5,A0A6M4ECJ5_PEA,unreviewed,"ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)",atpF,Pisum sativum (Garden pea),173,,,,
Q6LBX0,Q6LBX0_PEA,unreviewed,Pea chloroplast genes for F(O)-ATP synthase subunits a and c (partial) (Fragment),,Pisum sativum (Garden pea),32,,,,
A0A182DV18,A0A182DV18_PEA,unreviewed,Non-specific lipid-transfer protein,,Pisum sativum (Garden pea),95,NMR spectroscopy (1),A0A182DV18;,,
A4UTS1,A4UTS1_PEA,unreviewed,Chloroplast 2-oxoglutarate/malate translocator (Fragment),,Pisum sativum (Garden pea),104,,,,
A0A2D2ANZ9,A0A2D2ANZ9_PEA,unreviewed,SEN1,Sen1 Sym13,Pisum sativum (Garden pea),238,,,,
A0A1U9X411,A0A1U9X411_PEA,unreviewed,Beta-fructofuranosidase cell wall isozyme 6-like protein,CWINV6,Pisum sativum (Garden pea),588,,A0A1U9X411;,,
C9E9Y2,C9E9Y2_PEA,unreviewed,Calcium-regulated/ATP-independent forisome protein,,Pisum sativum (Garden pea),685,,C9E9Y2;,,
K7QDB7,K7QDB7_PEA,unreviewed,CONSTANS-like c,COLc,Pisum sativum (Garden pea),296,,,,
A0A0B4R6Z8,A0A0B4R6Z8_PEA,unreviewed,Plastid inner envelope membrane protein,FAX1,Pisum sativum (Garden pea),232,,,,
Q105A2,Q105A2_PEA,unreviewed,Isoamylase isoform 1,,Pisum sativum (Garden pea),791,,,,
Q8H0N2,Q8H0N2_PEA,unreviewed,Nodule inception protein,nin,Pisum sativum (Garden pea),924,,,,
Q8LSN6,Q8LSN6_PEA,unreviewed,Short-chain alcohol dehydrogenase SAD-A (Fragment),sadA,Pisum sativum (Garden pea),42,,,,
I6YJ37,I6YJ37_PEA,unreviewed,Putative LysM receptor kinase (Fragment),sym37,Pisum sativum (Garden pea),201,,,,
A5YBK4,A5YBK4_PEA,unreviewed,ERF transcription factor (Fragment),,Pisum sativum (Garden pea),248,,,,
Q41042,Q41042_PEA,unreviewed,L. (clone na-481-5),,Pisum sativum (Garden pea),611,,,,
A0A0K0KWR4,A0A0K0KWR4_PEA,unreviewed,Invertase inhibitor-like protein (Fragment),,Pisum sativum (Garden pea),132,,,,
Q7XAB3,Q7XAB3_PEA,unreviewed,Late-flowering,LF,Pisum sativum (Garden pea),173,,,,
O49932,O49932_PEA,unreviewed,Gda-1 protein,gda-1,Pisum sativum (Garden pea),254,,,,
Q9M3Y1,Q9M3Y1_PEA,unreviewed,Constitutively photomorphogenic 1 protein,cop1,Pisum sativum (Garden pea),675,,,,
A0A1Z1GEG8,A0A1Z1GEG8_PEA,unreviewed,Ribulose-bisphosphate carboxylase (EC 4.1.1.39) (Fragment),rbcS,Pisum sativum (Garden pea),28,,,,
A0A1U9X413,A0A1U9X413_PEA,unreviewed,Bidirectional sugar transporter 4-like protein (Fragment),SWEET4,Pisum sativum (Garden pea),155,,,,
A0A1U9X418,A0A1U9X418_PEA,unreviewed,Bidirectional sugar transporter SWEET,SWEET13,Pisum sativum (Garden pea),298,,,,
A0A6M4EEM3,A0A6M4EEM3_PEA,unreviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum (Garden pea),115,,,,
Q04181,Q04181_PEA,unreviewed,BURP domain-containing protein (Fragment),,Pisum sativum (Garden pea),221,,,,
A0A2H4UYL1,A0A2H4UYL1_PEA,unreviewed,Putative LysM receptor kinase (Fragment),LykX,Pisum sativum (Garden pea),212,,,,
Q6WAY4,Q6WAY4_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),546,,,,
D2DNK0,D2DNK0_PEA,unreviewed,Pseudo response regulator 37,PRR37,Pisum sativum (Garden pea),780,,,,
Q7XHK3,Q7XHK3_PEA,unreviewed,Superoxide dismutase (EC 1.15.1.1) (Fragment),sodB,Pisum sativum (Garden pea),243,,,,
A0A1Z1MY52,A0A1Z1MY52_PEA,unreviewed,Abscisic acid 8'-hydroxylase OH1 (EC 1.14.13.93),,Pisum sativum (Garden pea),464,,,,
Q8VX19,Q8VX19_PEA,unreviewed,Trypsin/chymotrypsin inhibitor (Fragment),ti5F,Pisum sativum (Garden pea),104,,,,
Q43085,Q43085_PEA,unreviewed,Phosphoribosylanthranilate transferase (EC 2.4.2.18) (Fragment),PAT1,Pisum sativum (Garden pea),368,,,,
A0A1U9X3Z9,A0A1U9X3Z9_PEA,unreviewed,Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (Fragment),LOG1,Pisum sativum (Garden pea),210,,,,
B6C7B5,B6C7B5_PEA,unreviewed,Coronatine-insensitive 1-like protein,COI,Pisum sativum (Garden pea),591,,,,
Q6GX79,Q6GX79_PEA,unreviewed,Ubiquitin activating enzyme E1 (Fragment),,Pisum sativum (Garden pea),204,,,,
Q08150,Q08150_PEA,unreviewed,GTP-binding protein,,Pisum sativum (Garden pea),217,,,,
X4XYP5,X4XYP5_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
O23885,O23885_PEA,unreviewed,Chalcone synthase (EC 2.3.1.74) (Fragment),PsCHS7,Pisum sativum (Garden pea),318,,,,
A0A3Q8Q0E1,A0A3Q8Q0E1_PEA,unreviewed,ATP-binding cassette subfamily B19,ABCB19,Pisum sativum (Garden pea),987,,,,
E7BBI1,E7BBI1_PEA,unreviewed,Putative LysM receptor kinase (Fragment),sym37,Pisum sativum (Garden pea),54,,,,
Q6KGX2,Q6KGX2_PEA,unreviewed,NADH dehydrogenase subunit B (Fragment),ndhB,Pisum sativum (Garden pea),459,,,,
A6XIG0,A6XIG0_PEA,unreviewed,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),G6PDH1,Pisum sativum (Garden pea),517,,A6XIG0;,,
E1C9L2,E1C9L2_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic",,Pisum sativum (Garden pea),170,X-ray crystallography (4),E1C9L2;,,
G8YZL3,G8YZL3_PEA,unreviewed,Histone H1 subtype 5,his5,Pisum sativum (Garden pea),256,,,,
V9H1B7,V9H1B7_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),91,,,,
Q9SM58,Q9SM58_PEA,unreviewed,Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase),aair,Pisum sativum (Garden pea),581,,,,
Q76KW5,Q76KW5_PEA,unreviewed,Class1 chitinase (Fragment),,Pisum sativum (Garden pea),296,,,,
E1C9K6,E1C9K6_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),64,X-ray crystallography (5),E1C9K6;,,
Q6RC06,Q6RC06_PEA,unreviewed,Serine/threonine protein kinase,PK2,Pisum sativum (Garden pea),445,,,,
G8GTP0,G8GTP0_PEA,unreviewed,BTB/POZ ankyrin repeat protein,,Pisum sativum (Garden pea),265,,,,
Q9AVI0,Q9AVI0_PEA,unreviewed,Protein phosphatase (EC 3.1.3.16),ssa-4,Pisum sativum (Garden pea),300,,,,
Q9XQR6,Q9XQR6_PEA,unreviewed,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47),psbB,Pisum sativum (Garden pea),507,Electron microscopy (2),Q9XQR6;,,
Q8LP15,Q8LP15_PEA,unreviewed,Nine-cis-epoxycarotenoid dioxygenase3,nced3,Pisum sativum (Garden pea),608,,,,
A0A1U9X416,A0A1U9X416_PEA,unreviewed,Bidirectional sugar transporter 15b-like protein (Fragment),SWEET15b,Pisum sativum (Garden pea),97,,,,
Q8W2E3,Q8W2E3_PEA,unreviewed,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),,Pisum sativum (Garden pea),577,,,,
A0A1U9X3Z2,A0A1U9X3Z2_PEA,unreviewed,Two-component response regulator 6-like protein (Fragment),ARR6,Pisum sativum (Garden pea),97,,,,
Q5JC56,Q5JC56_PEA,unreviewed,Malate dehydrogenase (EC 1.1.1.37),MDH,Pisum sativum (Garden pea),356,,Q5JC56;,,
D3H5H6,D3H5H6_PEA,unreviewed,Serine protease (Fragment),sp,Pisum sativum (Garden pea),84,,,,
D5MAK8,D5MAK8_PEA,unreviewed,Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII),petN,Pisum sativum (Garden pea),29,,,,
Q9XGG8,Q9XGG8_PEA,unreviewed,Putative plasma membrane intrinsic protein,pip2-1,Pisum sativum (Garden pea),285,,Q9XGG8;,,
Q9ZZU9,Q9ZZU9_PEA,unreviewed,NADH Dehydrogenase subunit 7 (Fragment),nad7,Pisum sativum (Garden pea),37,,,,
Q9S8P6,Q9S8P6_PEA,unreviewed,Ferredoxin-NADP(+)-oxidoreductase (Fragment),,Pisum sativum (Garden pea),21,,,,
Q9M7D2,Q9M7D2_PEA,unreviewed,Root border cell-specific protein,BRD13,Pisum sativum (Garden pea),325,,,,
Q41028,Q41028_PEA,unreviewed,Pisum sativum 17.9 kDa heat shock protein (hsp17.9) (Fragment),,Pisum sativum (Garden pea),155,,,,
B6ETR8,B6ETR8_PEA,unreviewed,Pheophorbide a oxygenase (EC 1.14.12.20) (Fragment),PAO,Pisum sativum (Garden pea),282,,,,
O24262,O24262_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.hum.1,Pisum sativum var. pumilio,94,,,,
B0BCJ7,B0BCJ7_PEA,unreviewed,Cvc protein (Fragment),cvc,Pisum sativum var. pumilio,451,,,,
Q4LAR6,Q4LAR6_PEA,unreviewed,Glycine cleavage system H protein,gdcH,Pisum sativum var. pumilio,165,,,,
Q6UGP4,Q6UGP4_PEA,unreviewed,Sat5 (Fragment),,Pisum sativum var. pumilio,31,,,,
O24264,O24264_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.hum.3,Pisum sativum var. pumilio,90,,,,
Q4LAP2,Q4LAP2_PEA,unreviewed,Glycine cleavage system H protein,gdcH,Pisum sativum var. tibetanicum,165,,Q4LAP2;,,
E1C9L0,E1C9L0_PEA,unreviewed,PSI-J (Photosystem I reaction center subunit IX),,Pisum sativum (Garden pea),42,X-ray crystallography (1),,,
Q5JC55,Q5JC55_PEA,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27) (Fragment),HMIP1,Pisum sativum (Garden pea),227,,,,
A4GXI3,A4GXI3_PEA,unreviewed,Ubiquitin activating enzyme-like protein (Fragment),,Pisum sativum (Garden pea),268,,,,
O04695,O04695_PEA,unreviewed,AT-hook motif nuclear-localized protein (Fragment),,Pisum sativum (Garden pea),334,,,,
Q43819,Q43819_PEA,unreviewed,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase),agpl1,Pisum sativum (Garden pea),510,,,,
L7V1C3,L7V1C3_PEA,unreviewed,Histone H1 subtype 6,His6,Pisum sativum (Garden pea),212,,,,
A5X538,A5X538_PEA,unreviewed,SNF5,SNF5,Pisum sativum (Garden pea),240,,,,
D2DNJ9,D2DNJ9_PEA,unreviewed,Pseudo response regulator 37,PRR37,Pisum sativum (Garden pea),792,,,,
Q9FS19,Q9FS19_PEA,unreviewed,Apyrase (Fragment),,Pisum sativum (Garden pea),83,,,,
Q8LKG1,Q8LKG1_PEA,unreviewed,Drm3,,Pisum sativum (Garden pea),124,,,,
A0A218MJ72,A0A218MJ72_PEA,unreviewed,1-aminocyclopropane-1-carboxylate synthase 4,ACS4,Pisum sativum (Garden pea),480,,,,
A8WE95,A8WE95_PEA,unreviewed,Developmentally regulated GTP binding protein 1,DRG1,Pisum sativum (Garden pea),368,,,,
A0A076G360,A0A076G360_PEA,unreviewed,Leucoanthocyanidin reductase,LAR,Pisum sativum (Garden pea),351,,,,
A0A0A1E7Y8,A0A0A1E7Y8_PEA,unreviewed,Actin isoform 3-1,,Pisum sativum (Garden pea),377,,,,
Q9MS84,Q9MS84_PEA,unreviewed,NADH dehydrogenase subunit F (Fragment),ndhF,Pisum sativum (Garden pea),357,,,,
A0A2P1E490,A0A2P1E490_PEA,unreviewed,Auxin signaling F-box 2,AFB2,Pisum sativum (Garden pea),571,,,,
Q9SC35,Q9SC35_PEA,unreviewed,Putative cathepsin B-like protease (Fragment),cat1,Pisum sativum (Garden pea),174,,,,
Q52ZI0,Q52ZI0_PEA,unreviewed,VERNALISATION 1 b (Fragment),VRN1b,Pisum sativum (Garden pea),50,,,,
J9XY27,J9XY27_PEA,unreviewed,SUF4b,,Pisum sativum (Garden pea),507,,,,
Q9SQJ2,Q9SQJ2_PEA,unreviewed,Short-chain alcohol dehydrogenase,sadB,Pisum sativum (Garden pea),256,,,,
O65208,O65208_PEA,unreviewed,Ferredoxin-NADP+ reductase (Fragment),,Pisum sativum (Garden pea),35,,,,
Q41043,Q41043_PEA,unreviewed,Expansin,orf,Pisum sativum (Garden pea),258,,,,
O04275,O04275_PEA,unreviewed,ATP synthase subunit beta (EC 7.1.2.2),F1 ATPase,Pisum sativum (Garden pea),561,,,,
Q27IK8,Q27IK8_PEA,unreviewed,G-box element binding protein,GBF,Pisum sativum (Garden pea),646,,,,
A0A0F6NFZ2,A0A0F6NFZ2_PEA,unreviewed,"ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)",atpF,Pisum sativum (Garden pea),181,,,,
Q5JC58,Q5JC58_PEA,unreviewed,Putative adenosine 5'-phosphosulphate reductase (Fragment),,Pisum sativum (Garden pea),192,,,,
A8IFK3,A8IFK3_PEA,unreviewed,S1 ribosomal protein,rps1,Pisum sativum (Garden pea),205,,,,
Q64G00,Q64G00_PEA,unreviewed,Ubiquitin (Fragment),,Pisum sativum (Garden pea),26,,,,
G3KBC0,G3KBC0_PEA,unreviewed,Dehydrin,,Pisum sativum (Garden pea),196,,,,
O82710,O82710_PEA,unreviewed,Protein tyrosine phosphatase,PTP1,Pisum sativum (Garden pea),332,,,,
Q9AVH4,Q9AVH4_PEA,unreviewed,Putative senescence-associated protein,ssa-11,Pisum sativum (Garden pea),288,,,,
A0A2H4UYH1,A0A2H4UYH1_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
A0A1U9X3Z5,A0A1U9X3Z5_PEA,unreviewed,Beta-fructofuranosidase cell wall isozyme 3-like protein,CWINV3,Pisum sativum (Garden pea),582,,A0A1U9X3Z5;,,
Q5ZP79,Q5ZP79_PEA,unreviewed,Alpha-galactosidase (EC 3.2.1.22) (Melibiase),gal1,Pisum sativum (Garden pea),405,,,,
O65348,O65348_PEA,unreviewed,Root iron transporter protein,Rit1,Pisum sativum (Garden pea),348,,,,
D5MAN0,D5MAN0_PEA,unreviewed,"50S ribosomal protein L2, chloroplastic",rpl2,Pisum sativum (Garden pea),273,,D5MAN0;,,
B7Z176,B7Z176_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-),loxN3,Pisum sativum (Garden pea),866,,,,
E3VST7,E3VST7_PEA,unreviewed,Actin isoform PEAc14-1,,Pisum sativum (Garden pea),377,,,,
A0A2H4UYD0,A0A2H4UYD0_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
O24288,O24288_PEA,unreviewed,Polynucleotide phosphorylase 1 (EC 2.7.7.8),pnp,Pisum sativum (Garden pea),897,,,,
Q9M3Y0,Q9M3Y0_PEA,unreviewed,Constitutively photomorphogenic 1 protein,cop1,Pisum sativum (Garden pea),968,,,,
A0A0K0KXV1,A0A0K0KXV1_PEA,unreviewed,Hexokinase-like protein (Fragment),,Pisum sativum (Garden pea),29,,,,
Q5NE23,Q5NE23_PEA,unreviewed,GRAS family protein,sym7,Pisum sativum (Garden pea),503,,,,
Q702P0,Q702P0_PEA,unreviewed,Vicilin (Fragment),,Pisum sativum (Garden pea),415,,,,
C0STY8,C0STY8_PEA,unreviewed,Nucleoside diphosphate kinase (EC 2.7.4.6),RPNDK3,Pisum sativum (Garden pea),233,,,,
Q9SB20,Q9SB20_PEA,unreviewed,Ferredoxin NADP+ reductase (EC 1.18.1.2) (Fragment),petE,Pisum sativum (Garden pea),27,,,,
A0A068LJH6,A0A068LJH6_PEA,unreviewed,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (EC 2.1.1.14),,Pisum sativum (Garden pea),763,,,,
A0A6M4ECS7,A0A6M4ECS7_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 1) (NDH subunit 1) (NADH-plastoquinone oxidoreductase subunit 1)",ndhA,Pisum sativum (Garden pea),363,,,,
Q93X82,Q93X82_PEA,unreviewed,V-type H+-ATPase subunit A (Fragment),,Pisum sativum (Garden pea),151,,,,
A0A144L7G4,A0A144L7G4_PEA,unreviewed,Chloroplast 40 kDa outer membrane envelope protein,OEP40,Pisum sativum (Garden pea),389,,,,
Q9AT24,Q9AT24_PEA,unreviewed,Histone H1 (Fragment),His1,Pisum sativum (Garden pea),290,,,,
B0BCJ4,B0BCJ4_PEA,unreviewed,Convicilin (Fragment),cvc,Pisum sativum var. pumilio,511,,,,
K7X0W5,K7X0W5_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment),,Pisum sativum var. pumilio,193,,,,
O24263,O24263_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.hum.2,Pisum sativum var. pumilio,111,,,,
K7XJL0,K7XJL0_PEA,unreviewed,Maturase K (Intron maturase),matK,Pisum sativum var. pumilio,506,,,,
Q41060,SBP65_PEA,reviewed,Seed biotin-containing protein SBP65 (Seed biotinylated protein of 65 kDa),SBP65,Pisum sativum (Garden pea),551,,Q41060;,,
P82325,UT106_PEA,reviewed,Unknown protein from spot 106 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),12,,,,
P82341,UT251_PEA,reviewed,Unknown protein from spot 251 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
Q05462,RL27_PEA,reviewed,60S ribosomal protein L27,RPL27,Pisum sativum (Garden pea),135,,Q05462;,,
P82329,UT111_PEA,reviewed,Unknown protein from spot 111 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),12,,,,
P82323,UT104_PEA,reviewed,Unknown protein from spot 104 of 2D-PAGE of thylakoid (Fragments),,Pisum sativum (Garden pea),31,,,,
P02854,VCLB_PEA,reviewed,Provicilin (Type B) (Fragment),,Pisum sativum (Garden pea),410,,P02854;,,
P11891,PSRP5_PEA,reviewed,"50S ribosomal protein 5, chloroplastic (50S ribosomal protein L18) (CL18) (Plastid-specific 50S ribosomal protein 5) (PSRP-5)",PSRP5 RPL18,Pisum sativum (Garden pea),145,,P11891;,,
P82322,UT103_PEA,reviewed,Unknown protein from spot 103 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
Q9XQU4,SECY_PEA,reviewed,"Preprotein translocase subunit SECY, chloroplastic (CpSecY)",SECY,Pisum sativum (Garden pea),527,,,,
Q9ZTR0,SPDS2_PEA,reviewed,Spermidine synthase 2 (SPDSY 2) (EC 2.5.1.16) (Putrescine aminopropyltransferase 2),SPDSYN2,Pisum sativum (Garden pea),342,,Q9ZTR0;,,
P13918,VCLC_PEA,reviewed,Vicilin,,Pisum sativum (Garden pea),459,,P13918;,,
Q9SWF9,ZFNL_PEA,reviewed,Zinc finger CCCH domain-containing protein ZFN-like,,Pisum sativum (Garden pea),417,,Q9SWF9;,,
P49208,RK1_PEA,reviewed,"50S ribosomal protein L1, chloroplastic (CL1) (Fragment)",RPL1,Pisum sativum (Garden pea),208,,P49208;,,
Q9ZST9,TIC22_PEA,reviewed,"Protein TIC 22, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 22) (PsTIC22)",TIC22 IAP25,Pisum sativum (Garden pea),252,,Q9ZST9;,,
Q8GT66,TIC40_PEA,reviewed,"Protein TIC 40, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 40) (PsTIC40)",TIC40,Pisum sativum (Garden pea),436,,Q8GT66;,,
P29501,TBB2_PEA,reviewed,Tubulin beta-2 chain (Beta-2-tubulin) (Fragment),TUBB2 TUB2,Pisum sativum (Garden pea),447,,P29501;,,
P21727,TPT_PEA,reviewed,"Triose phosphate/phosphate translocator, chloroplastic (cTPT) (E30) (p36)",,Pisum sativum (Garden pea),402,,P21727;,,
P82333,UT118_PEA,reviewed,Unknown protein from spot 118 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P26291,UCRIA_PEA,reviewed,"Cytochrome b6-f complex iron-sulfur subunit, chloroplastic (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (Rieske iron-sulfur protein) (ISP) (RISP)",petC,Pisum sativum (Garden pea),230,,P26291;,,
P11892,PSRP6_PEA,reviewed,"50S ribosomal protein 6, chloroplastic (CL25) (Plastid-specific 50S ribosomal protein 6) (PSRP-6)",PSRP6,Pisum sativum (Garden pea),104,,P11892;,,
P82332,UT115_PEA,reviewed,Unknown protein from spot 115 of 2D-PAGE of thylakoid (Fragments),,Pisum sativum (Garden pea),14,,,,
P12227,RPOC2_PEA,reviewed,DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta'') (Fragment),rpoC2,Pisum sativum (Garden pea),1163,,P12227;,,
Q6KGX3,RR7_PEA,reviewed,"30S ribosomal protein S7, chloroplastic",rps7,Pisum sativum (Garden pea),156,,Q6KGX3;,,
P42054,VDAC_PEA,reviewed,Outer plastidial membrane protein porin (Voltage-dependent anion-selective channel protein) (VDAC),POR1,Pisum sativum (Garden pea),276,,P42054;,,
P11893,RK24_PEA,reviewed,"50S ribosomal protein L24, chloroplastic (CL24)",RPL24,Pisum sativum (Garden pea),194,,P11893;,,
Q9ZTX0,SCAM_PEA,reviewed,Secretory carrier-associated membrane protein (Secretory carrier membrane protein),PSAM2,Pisum sativum (Garden pea),289,,Q9ZTX0;,,
P82337,UT019_PEA,reviewed,Unknown protein from spot 19 of 2D-PAGE of thylakoid (Fragments),,Pisum sativum (Garden pea),33,,,,
P20118,PSAE_PEA,reviewed,Photosystem I reaction center subunit IV (PSI-E) (Photosystem I 13 kDa protein) (Fragment),PSAE,Pisum sativum (Garden pea),13,,,,
P02855,VCLA_PEA,reviewed,Provicilin (Type A) (Fragment),,Pisum sativum (Garden pea),275,,P02855;,,
O48559,UNI_PEA,reviewed,Protein UNIFOLIATA,UNI,Pisum sativum (Garden pea),395,,O48559;,,
Q9AVK4,SCR_PEA,reviewed,Protein SCARECROW (PsSCR),SCR,Pisum sativum (Garden pea),819,,Q9AVK4;,,
P82330,UT112_PEA,reviewed,Unknown protein from spot 112 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P82335,UT119_PEA,reviewed,Unknown protein from spot 119 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P82342,UT123_PEA,reviewed,Unknown protein from spot 123 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),12,,,,
P50906,TCTP_PEA,reviewed,Translationally-controlled tumor protein homolog (TCTP) (23 kDa callus protein) (PsRCI22-3) (p23),TCTP,Pisum sativum (Garden pea),167,,,,
P82328,UT110_PEA,reviewed,Unknown protein from spot 110 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),12,,,,
P69322,UBIQP_PEA,reviewed,Polyubiquitin [Cleaved into: Ubiquitin],PU1,Pisum sativum (Garden pea),381,,P69322;,,
A7VLV1,SGRW_PEA,reviewed,"Protein STAY-GREEN, chloroplastic (Protein STAYGREEN)",SGR,Pisum sativum (Garden pea),261,,,,
P08926,RUBA_PEA,reviewed,"RuBisCO large subunit-binding protein subunit alpha, chloroplastic (60 kDa chaperonin subunit alpha) (CPN-60 alpha)",,Pisum sativum (Garden pea),587,,P08926;,,
Q43067,TCMO_PEA,reviewed,Trans-cinnamate 4-monooxygenase (EC 1.14.14.91) (Cinnamic acid 4-hydroxylase) (C4H) (CA4H) (Cytochrome P450 73) (Cytochrome P450C4H),CYP73A9,Pisum sativum (Garden pea),505,,Q43067;,,
P82331,UT114_PEA,reviewed,Unknown protein from spot 114 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),15,,,,
P07815,RK36_PEA,reviewed,"50S ribosomal protein L36, chloroplastic",rpl36,Pisum sativum (Garden pea),37,,P07815;,,
P51428,RT10_PEA,reviewed,"Ribosomal protein S10, mitochondrial",RPS10,Pisum sativum (Garden pea),110,,P51428;,,
Q43093,SSG2_PEA,reviewed,"Granule-bound starch synthase 2, chloroplastic/amyloplastic (EC 2.4.1.21) (Granule-bound starch synthase II) (GBSS-II)",,Pisum sativum (Garden pea),752,,Q43093;,,
P82338,UT023_PEA,reviewed,Unknown protein from spots 23/28/205 of 2D-PAGE of thylakoid (Fragments),,Pisum sativum (Garden pea),45,,P82338;,,
O24301,SUS2_PEA,reviewed,Sucrose synthase 2 (EC 2.4.1.13) (Sucrose-UDP glucosyltransferase 2),SUS2,Pisum sativum (Garden pea),809,,O24301;,,
P82336,UT125_PEA,reviewed,Unknown protein from spot 125 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),11,,,,
P17771,OSP4_PEA,reviewed,Organ-specific protein P4,,Pisum sativum (Garden pea),130,,,,
O65874,MTF1_PEA,reviewed,MADS-box transcription factor 1,MTF1,Pisum sativum (Garden pea),247,,O65874;,,
P06527,PETD_PEA,reviewed,Cytochrome b6-f complex subunit 4 (17 kDa polypeptide),petD,Pisum sativum (Garden pea),160,,P06527;,,
P28642,PSBK_PEA,reviewed,Photosystem II reaction center protein K (PSII-K) (Fragment),psbK,Pisum sativum (Garden pea),46,,P28642;,,
Q43089,INV1_PEA,reviewed,"Beta-fructofuranosidase, cell wall isozyme (EC 3.2.1.26) (Acid invertase) (Sucrose hydrolase)",BFRUCT1,Pisum sativum (Garden pea),555,,Q43089;,,
Q9SAZ0,LGB6_PEA,reviewed,Leghemoglobin Lb120-34,,Pisum sativum (Garden pea),146,,Q9SAZ0;,,
P69529,PSBM_PEA,reviewed,Photosystem II reaction center protein M (PSII-M),psbM,Pisum sativum (Garden pea),34,Electron microscopy (2),P69529;,,
